species,drug,n_classified,n_clsi_breakpoint,n_ecv_wt,n_ecv_nwt,n_unclassifiable,ecv_used,version,date_added
Pleurostomophora richardsiae,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Pseudopithomyces sacchari,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Purpureocillium lilacinum,Anidulafungin,5,0,0,0,5,,v1,2026-07-06
Rasamsonia argillacea,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Rasamsonia argillacea species complex,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Rhizomucor miehei,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Rhizopus microsporus,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Rhizopus microsporus group,Anidulafungin,40,0,0,0,40,,v1,2026-07-06
Rhizopus oryzae,Anidulafungin,20,0,0,0,20,,v1,2026-07-06
Rhizopus oryzae species complex,Anidulafungin,10,0,0,0,10,,v1,2026-07-06
Rhodotorula mucilaginosa,Anidulafungin,52,0,0,0,52,,v1,2026-07-06
Saccharomyces cerevisiae,Anidulafungin,92,0,0,0,92,,v1,2026-07-06
Sarocladium kiliense,Anidulafungin,17,0,0,0,17,,v1,2026-07-06
Scedosporium apiospermum,Anidulafungin,15,0,0,0,15,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Anidulafungin,61,0,0,0,61,,v1,2026-07-06
Scedosporium aurantiacum,Anidulafungin,19,0,0,0,19,,v1,2026-07-06
Scedosporium boydii,Anidulafungin,10,0,0,0,10,,v1,2026-07-06
Scedosporium dehoogii,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis / Scopulariopsis brumptii,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Trichoderma longibrachiatum,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Trichomonascus ciferrii complex,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Anidulafungin,94,0,0,0,94,,v1,2026-07-06
Trichosporon capitatum,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Trichosporon ovoides,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Aspergillus,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Unspeciated Candida,Anidulafungin,5,0,0,0,5,,v1,2026-07-06
Unspeciated Chaetomium,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Coprinellus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Corpinellus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Cunninghamella,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Curvularia,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Unspeciated Exophiala,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Fusarium,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Lichtheimia,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Mucor,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Paecilomyces,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Penicillium,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phaeoacremonium,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phialemoniopsis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Rhizopus,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Rhodotorula,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Sarocladium,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scedosporium,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scopulariopsis,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Unspeciated Syncephalastrum,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Trichosporon,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Verruconis gallopava,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Wangiella dermatitidis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Wickerhamomyces anomalus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Anidulafungin,8,0,0,0,8,,v1,2026-07-06
Acremonium strictum genogroup III,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Alternaria alternata,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus aculeatus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus brasiliensis,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus clavatus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Caspofungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Caspofungin,320,0,0,0,320,,v1,2026-07-06
Aspergillus foetidus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Caspofungin,2084,0,0,0,2084,,v1,2026-07-06
Aspergillus fumisynnematus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus hortai,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Caspofungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus melleus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Caspofungin,48,0,0,0,48,,v1,2026-07-06
Aspergillus nidulans species complex,Caspofungin,20,0,0,0,20,,v1,2026-07-06
Aspergillus niger,Caspofungin,143,0,0,0,143,,v1,2026-07-06
Aspergillus niger species complex,Caspofungin,215,0,0,0,215,,v1,2026-07-06
Aspergillus nomius,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus ochraceus species complex,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus parasiticus,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus piperis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus sclerotiorum,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Caspofungin,10,0,0,0,10,,v1,2026-07-06
Aspergillus tamarii,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus terreus,Caspofungin,77,0,0,0,77,,v1,2026-07-06
Aspergillus terreus species complex,Caspofungin,48,0,0,0,48,,v1,2026-07-06
Aspergillus thermomutatus,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus tubingensis,Caspofungin,22,0,0,0,22,,v1,2026-07-06
Aspergillus udagawae,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Caspofungin,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus,Caspofungin,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus species complex,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Aspergillus versicolor,Caspofungin,14,0,0,0,14,,v1,2026-07-06
Aspergillus versicolor species complex,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Candida albicans,Caspofungin,9720,9720,0,0,0,,v1,2026-07-06
Candida auris,Caspofungin,122,122,0,0,0,,v1,2026-07-06
Candida blankii,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida bracarensis,Caspofungin,13,0,0,0,13,,v1,2026-07-06
Candida cacao,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Candida catenulata,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Candida digboiensis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Caspofungin,523,0,0,0,523,,v1,2026-07-06
Candida duobushaemulonii,Caspofungin,5,0,0,0,5,,v1,2026-07-06
Candida fabianii,Caspofungin,31,0,0,0,31,,v1,2026-07-06
Candida fermentati,Caspofungin,46,0,0,0,46,,v1,2026-07-06
Candida fluviatilis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Caspofungin,4264,4264,0,0,0,,v1,2026-07-06
Candida guilliermondii,Caspofungin,148,148,0,0,0,,v1,2026-07-06
Candida haemulonii,Caspofungin,16,0,0,0,16,,v1,2026-07-06
Candida inconspicua,Caspofungin,20,0,0,0,20,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Candida intermedia,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida kefyr,Caspofungin,180,0,0,0,180,,v1,2026-07-06
Candida krusei,Caspofungin,636,636,0,0,0,,v1,2026-07-06
Candida lipolytica,Caspofungin,18,0,0,0,18,,v1,2026-07-06
Candida lusitaniae,Caspofungin,411,0,0,0,411,,v1,2026-07-06
Candida margitis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Caspofungin,79,0,0,0,79,,v1,2026-07-06
Candida nivariensis,Caspofungin,13,0,0,0,13,,v1,2026-07-06
Candida norvegensis,Caspofungin,8,0,0,0,8,,v1,2026-07-06
Candida orthopsilosis,Caspofungin,171,0,0,0,171,,v1,2026-07-06
Candida palmioleophila,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Caspofungin,3391,3391,0,0,0,,v1,2026-07-06
Candida pararugosa,Caspofungin,13,0,0,0,13,,v1,2026-07-06
Candida pelliculosa,Caspofungin,48,0,0,0,48,,v1,2026-07-06
Candida pseudohaemulonii,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Candida rugosa,Caspofungin,8,0,0,0,8,,v1,2026-07-06
Candida sojae,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Candida thasaenensis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Candida theae,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Caspofungin,2126,2126,0,0,0,,v1,2026-07-06
Candida utilis,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Coprinellus radians,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Cryptococcus gattii,Caspofungin,14,0,0,0,14,,v1,2026-07-06
Cryptococcus gattii species complex,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Cryptococcus neoformans,Caspofungin,100,0,0,0,100,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Caspofungin,432,0,0,0,432,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Caspofungin,52,0,0,0,52,,v1,2026-07-06
Cunninghamella bertholletiae,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Cyberlindnera rhodanensis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Epicoccum nigrum,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Exophiala attenuata,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Exophiala dermatitidis,Caspofungin,18,0,0,0,18,,v1,2026-07-06
Exophiala phaeomuriformis,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Fonsecaea pedrosoi,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Fusarium annulatum,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Fusarium dimerum,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Fusarium dimerum species complex,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Fusarium falciforme,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Fusarium incarnatum-equiseti species complex,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Fusarium musae,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Fusarium oxysporum species complex,Caspofungin,25,0,0,0,25,,v1,2026-07-06
Fusarium petroliphilum,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Fusarium solani,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Fusarium solani species complex,Caspofungin,65,0,0,0,65,,v1,2026-07-06
Geotrichum clavatum,Caspofungin,35,0,0,0,35,,v1,2026-07-06
Geotrichum silvicola,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Gibberella fujikuroi species complex,Caspofungin,37,0,0,0,37,,v1,2026-07-06
Kluyveromyces marxianus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Lichtheimia corymbifera,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Lichtheimia ramosa,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Lodderomyces elongisporus,Caspofungin,7,0,0,0,7,,v1,2026-07-06
Lomentospora prolificans,Caspofungin,30,0,0,0,30,,v1,2026-07-06
Magnusiomyces capitatus,Caspofungin,25,0,0,0,25,,v1,2026-07-06
Malassezia pachydermatis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Medicopsis romeroi,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Microascus cirrosus,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Monascus ruber,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Mucor circinelloides,Caspofungin,15,0,0,0,15,,v1,2026-07-06
Mucor circinelloides/ Mucor ramosissimus,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Mucor indicus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Caspofungin,17,0,0,0,17,,v1,2026-07-06
Paecilomyces variotii,Caspofungin,11,0,0,0,11,,v1,2026-07-06
Penicillium chrysogenum,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Penicillium citrinum,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Penicillium georgiense,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Penicillium roqueforti group,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus aspergilloides,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Penicillium subgenus furcatum,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus terverticillata,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Penicillium variabile,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Phaeoacremonium parasiticum,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Phialemonium curvatum,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Caspofungin,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Caspofungin,4,0,0,0,4,,v1,2026-07-06
Pichia onychis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Pleurostomophora richardsiae,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Pseudopithomyces sacchari,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Purpureocillium lilacinum,Caspofungin,5,0,0,0,5,,v1,2026-07-06
Rasamsonia argillacea,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Rasamsonia argillacea species complex,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Rhizomucor miehei,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Rhizopus microsporus,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Rhizopus microsporus group,Caspofungin,40,0,0,0,40,,v1,2026-07-06
Rhizopus oryzae,Caspofungin,20,0,0,0,20,,v1,2026-07-06
Rhizopus oryzae species complex,Caspofungin,10,0,0,0,10,,v1,2026-07-06
Rhodotorula mucilaginosa,Caspofungin,52,0,0,0,52,,v1,2026-07-06
Saccharomyces cerevisiae,Caspofungin,91,0,0,0,91,,v1,2026-07-06
Sarocladium kiliense,Caspofungin,17,0,0,0,17,,v1,2026-07-06
Scedosporium apiospermum,Caspofungin,15,0,0,0,15,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Caspofungin,60,0,0,0,60,,v1,2026-07-06
Scedosporium aurantiacum,Caspofungin,19,0,0,0,19,,v1,2026-07-06
Scedosporium boydii,Caspofungin,10,0,0,0,10,,v1,2026-07-06
Scedosporium dehoogii,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis / Scopulariopsis brumptii,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Trichoderma longibrachiatum,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Trichomonascus ciferrii complex,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Caspofungin,94,0,0,0,94,,v1,2026-07-06
Trichosporon capitatum,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Trichosporon ovoides,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Aspergillus,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Unspeciated Candida,Caspofungin,5,0,0,0,5,,v1,2026-07-06
Unspeciated Chaetomium,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Coprinellus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Corpinellus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Cunninghamella,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Curvularia,Caspofungin,9,0,0,0,9,,v1,2026-07-06
Unspeciated Exophiala,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Fusarium,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Lichtheimia,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Mucor,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Paecilomyces,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Penicillium,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phaeoacremonium,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phialemoniopsis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Rhizopus,Caspofungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Rhodotorula,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Sarocladium,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scedosporium,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scopulariopsis,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Unspeciated Syncephalastrum,Caspofungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Trichosporon,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Verruconis gallopava,Caspofungin,3,0,0,0,3,,v1,2026-07-06
Wangiella dermatitidis,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Wickerhamomyces anomalus,Caspofungin,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Caspofungin,8,0,0,0,8,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida albicans,Fluconazole,9784,9784,0,0,0,,v1,2026-07-06
Candida auris,Fluconazole,122,122,0,0,0,,v1,2026-07-06
Candida blankii,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida bracarensis,Fluconazole,13,0,0,0,13,,v1,2026-07-06
Candida cacao,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Candida catenulata,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida digboiensis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Fluconazole,527,0,0,0,527,,v1,2026-07-06
Candida duobushaemulonii,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida fabianii,Fluconazole,31,0,0,0,31,,v1,2026-07-06
Candida fermentati,Fluconazole,47,0,0,0,47,,v1,2026-07-06
Candida fluviatilis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Fluconazole,4314,4314,0,0,0,,v1,2026-07-06
Candida guilliermondii,Fluconazole,149,0,0,0,149,,v1,2026-07-06
Candida haemulonii,Fluconazole,16,0,0,0,16,,v1,2026-07-06
Candida inconspicua,Fluconazole,20,0,0,0,20,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Candida intermedia,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida kefyr,Fluconazole,181,0,0,0,181,,v1,2026-07-06
Candida krusei,Fluconazole,282,0,0,0,282,,v1,2026-07-06
Candida lipolytica,Fluconazole,18,0,0,0,18,,v1,2026-07-06
Candida lusitaniae,Fluconazole,416,0,0,0,416,,v1,2026-07-06
Candida margitis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Fluconazole,81,0,0,0,81,,v1,2026-07-06
Candida nivariensis,Fluconazole,15,0,0,0,15,,v1,2026-07-06
Candida norvegensis,Fluconazole,7,0,0,0,7,,v1,2026-07-06
Candida orthopsilosis,Fluconazole,174,0,0,0,174,,v1,2026-07-06
Candida palmioleophila,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Fluconazole,3424,3424,0,0,0,,v1,2026-07-06
Candida pararugosa,Fluconazole,11,0,0,0,11,,v1,2026-07-06
Candida pelliculosa,Fluconazole,51,0,0,0,51,,v1,2026-07-06
Candida pseudohaemulonii,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida rugosa,Fluconazole,9,0,0,0,9,,v1,2026-07-06
Candida sojae,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Candida thasaenensis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Candida theae,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Fluconazole,2139,2139,0,0,0,,v1,2026-07-06
Candida utilis,Fluconazole,9,0,0,0,9,,v1,2026-07-06
Cryptococcus gattii,Fluconazole,14,0,0,0,14,,v1,2026-07-06
Cryptococcus gattii species complex,Fluconazole,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Cryptococcus neoformans,Fluconazole,100,0,0,0,100,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Fluconazole,432,0,0,0,432,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Fluconazole,52,0,0,0,52,,v1,2026-07-06
Cyberlindnera rhodanensis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Geotrichum clavatum,Fluconazole,35,0,0,0,35,,v1,2026-07-06
Geotrichum silvicola,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Kluyveromyces marxianus,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Fluconazole,9,0,0,0,9,,v1,2026-07-06
Lodderomyces elongisporus,Fluconazole,7,0,0,0,7,,v1,2026-07-06
Magnusiomyces capitatus,Fluconazole,26,0,0,0,26,,v1,2026-07-06
Malassezia pachydermatis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Fluconazole,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Fluconazole,4,0,0,0,4,,v1,2026-07-06
Pichia onychis,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Rhodotorula mucilaginosa,Fluconazole,51,0,0,0,51,,v1,2026-07-06
Saccharomyces cerevisiae,Fluconazole,92,0,0,0,92,,v1,2026-07-06
Trichomonascus ciferrii complex,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Fluconazole,94,0,0,0,94,,v1,2026-07-06
Trichosporon capitatum,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Fluconazole,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Fluconazole,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Fluconazole,9,0,0,0,9,,v1,2026-07-06
Trichosporon ovoides,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Candida,Fluconazole,5,0,0,0,5,,v1,2026-07-06
Unspeciated Rhodotorula,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Trichosporon,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Wickerhamomyces anomalus,Fluconazole,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Fluconazole,8,0,0,0,8,,v1,2026-07-06
Acremonium strictum genogroup III,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Aspergillus clavatus,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus species complex,Flucytosine,54,0,0,0,54,,v1,2026-07-06
Aspergillus foetidus,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Flucytosine,307,0,0,0,307,,v1,2026-07-06
Aspergillus nidulans,Flucytosine,8,0,0,0,8,,v1,2026-07-06
Aspergillus niger,Flucytosine,15,0,0,0,15,,v1,2026-07-06
Aspergillus niger species complex,Flucytosine,33,0,0,0,33,,v1,2026-07-06
